STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP,business name,id
1801,Street Non-DT,End Cap,34.1812,-84.133,905 Market Place Blvd.,Cumming,GA,30041,Panda Express,Gtb4t8JqzKkdgPjafR6AFg
1802,Street DT,Free Standing,41.2916,-96.1788,16920 Evans Plaza,Omaha,NE,68116,Panda Express,z92am4vEZN5X5ulTcyM4BQ
1803,Street DT,Free Standing,41.2347,-96.1909,17627 Gold Plaza,Omaha,NE,68130,Panda Express,H8KTSon65ih9LmUx8BIxEQ
1805,Street Non-DT,End Cap,42.5662,-87.9282,9800 76 Th St.,Pleasant Prairie,WI,53158,Panda Express,yzyTKO0mGlV-6PyOvYTMeA
1808,Street DT,Free Standing,36.0613,-95.8671,9815 E. 71st St.,Tulsa,OK,74133,Panda Express,dghIDdKnoIdu5uSr7h_m9Q
1811,Mall,Food Court,33.9854,-118.3951,6000 Sepulveda Blvd,Culver City,CA,90230,Panda Express - Temporarily Closed,cI3SK6ndG0rjzxDCs44BvA
1813,Street Non-DT,End Cap,40.8141,-74.0135,2100 88th Street,North Bergen,NJ,7047,Panda Express,ZavZHhbaPQS8ed7gdeElYQ
1814,Street DT,Free Standing,36.5759,-119.626,2785 Floral Ave,Selma,CA,93662,Panda Express,cfNWmoY4eoGoyGoYJ4POhQ
1815,Street Non-DT,End Cap,30.3168,-95.4748,1312 West Davis St,Conroe,TX,77304,Panda Express,Wvm-UlP1Xi4_q8tmuO4PXA
1816,Street Non-DT,End Cap,30.2191,-81.5547,9971 Baymeadows Rd,Jacksonville,FL,32256,Panda Express,jShcWGmhjZlBNvp0LzHEjw
1818,Street DT,Free Standing,32.6063,-97.1172,1351 E. Debbie Lane,Mansfield,TX,76063,Panda Express,8z1Pos5O0NzPRjlTjdzZLA
1819,Mall,In Line,32.9299,-96.8198,13350 Dallas Parkway,Dallas,TX,75240,Panda Express - Temporarily Closed,Jt7_iJb4IAPJaS-2A8Lgiw
1820,Street DT,End Cap,29.3758,-98.4578,4248 S New Braunfels Ave,San Antonio,TX,78223,Panda Express,SDaOYtloInESP50iAge8JQ
1821,Street Non-DT,End Cap,38.593,-90.5056,101 Highlands Blvd,Manchester,MO,63011,Panda Express,oXMk5prvnXniaSFbR8vHqw
1822,Street DT,Free Standing,36.1329,-95.9235,4728 East 21st Street,Tulsa,OK,74114,Panda Express,iNgWHr_gif6ZUCmOVyZ53g
1824,Street DT,Free Standing,43.4874,-111.9836,1151 S. 25th E.,Ammon,ID,83406,Panda Express,1S3U31Cu6tIAKGhR_DRWWw
1825,Street DT,Free Standing,34.6615,-120.458,1405 N. H Street,Lompoc,CA,93436,Panda Express,tNOq4tzpFVa_hqrq_Fo_og
1826,Street Non-DT,End Cap,45.5061,-122.9581,2275 Se Tualatin Valley Hwy,Hillsboro,OR,97123,Panda Express,wJ3Ucn23hB0CQl8x1zerQw
1827,Street DT,Free Standing,34.7218,-112.0015,2160 AZ-89A,Cottonwood,AZ,86326,Panda Express,CbFES9xQKxlqhwkh_XZHTg
1828,Street DT,End Cap,31.5599,-110.2579,480 N. Highway 90 Bypass,Sierra Vista,AZ,85635,Panda Express,XOtEYlEPLPQ_YFYhzMA9jA
1829,University,Food Court,33.6316,-117.8318,A232 Student Center,Irvine,CA,92697,Panda Express - Temporarily Closed,hiczRBTNxzPitF1Hzn1-mQ
183,Mall,Food Court,38.4381,-122.7155,2107 Santa Rosa Plaza,Santa Rosa,CA,95401,Panda Express - Temporarily Closed,n-p-cSt_IBYuuKWWGfQd_A
1830,Airport,Food Court,35.0483,-106.6164,2200 Sunport Blvd. Se,Albuquerque,NM,87106,Panda Express - Temporarily Closed,Z_AdTWnFFeMPTaW4JMveiA
1833,Street Non-DT,End Cap,42.2262,-88.3019,5260 Us-14,Crystal Lake,IL,60014,Panda Express,#NAME?
1835,Street DT,Free Standing,36.9743,-120.0791,1900 Cleveland Ave,Madera,CA,93637,Panda Express,kdF9PN8LuX_drrhxYymC6A
1836,Street Non-DT,End Cap,44.8342,-93.1537,"1270 Promenade Place, Suite 150",Eagan,MN,55120,Panda Express,cu7q3wyuV-3q5STQRAz6Jw
1837,Street DT,Free Standing,32.1854,-110.9686,3398 South 6th Avenue,Tucson,AZ,85713,Panda Express,HJ9qmwxI5-3YeKRoDbbulA
1838,Street Non-DT,End Cap,39.1449,-84.6214,6180 Glenway Avenue,Cincinnati,OH,45211,Panda Express,AWns_PIHp19zpT90cqif-Q
1839,Street Non-DT,Free Standing,36.0653,-95.7752,1314 E. Hillside Dr,Broken Arrow,OK,74012,Panda Express,TQAmrC7S-sJHqXnNBaBzaA
1840,Street Non-DT,End Cap,40.5496,-74.4258,5030 Hadley Center Drive,South Plainfield,NJ,7080,Panda Express,GdXMcuL1-hITHOwprzw9fA
1841,Street Non-DT,End Cap,33.8186,-117.9417,"927 South Euclid St., A",Anaheim,CA,92802,Panda Express,ENzJ5LEFeb1eUqYX6gn2rw
1846,Street DT,Free Standing,35.9795,-86.565,150 Movie Row,Smyrna,TN,37167,Panda Express,5HPi_jfnepC5NtIsREQNHA
1848,Street Non-DT,End Cap,36.8361,-119.9124,6733 N. Riverside Dr.,Fresno,CA,93722,Panda Express,hF0cbm6cbZgWhCqhvqlfdw
1849,Street DT,Free Standing,32.6484,-96.8668,39718 Lbj Fwy,Dallas,TX,75237,Panda Express,vsmVRfWH7eWHh9pZjOuMrw
1850,Street Non-DT,End Cap,40.0361,-85.9943,"17055 Mercantile, Unit 14",Noblesville,IN,46060,Panda Express,PrhVa0KXC7lNVWmErI8BNQ
1851,Street Non-DT,End Cap,29.6422,-98.455,21025 U.s. Hwy 281 N,San Antonio,TX,78258,Panda Express,eu_gYSZbHsSZfbSyalbkXQ
1852,Airport,Food Court,28.4276,-81.3142,9333 Orlando International Airport Tram,Orlando,FL,32827,Panda Express,xctw2CDaEyUEUce_Wh_KqQ
1854,Street DT,Free Standing,32.9561,-96.818,15204 Montfort Dr,Dallas,TX,75248,Panda Express,jSoDCq6a10JptJlBVv4kTw
1855,Street Non-DT,End Cap,37.3404,-121.9064,567 Coleman Ave.,San Jose,CA,95110,Panda Express,BY1Sle7WNvK8NWoJlACh8Q
1856,Street Non-DT,End Cap,33.9171,-117.9009,"101 W. Imperial Hwy, G",Brea,CA,92821,Panda Express,lRWd0kxkBEICXG7whNHgcw
1857,Street DT,Free Standing,41.2215,-95.8352,3805 Denmark Dr.,Council Bluffs,IA,51501,Panda Express,ZS30nY01qPd4k8sal9NaDw
1858,Street DT,Free Standing,45.4551,-122.5797,9425 Se 82nd Ave.,Happy Valley,OR,97086,Panda Express,b9-W3CryleYlCeAGc7806g
186,Street Non-DT,End Cap,21.2835,-157.7118,333 Keahole St. #2c1,Honolulu,HI,96825,Panda Express,1_DVNqrxaSrNDI8gaQEMJg
1860,Street Non-DT,End Cap,36.9621,-122.0444,2121 Mission Street,Santa Cruz,CA,95060,Panda Express,zR4psCuKe2J34F2MzXYhhw
1861,Street DT,Free Standing,38.3629,-121.968,1450 E. Monte Vista Ave,Vacaville,CA,95688,Panda Express,TNidMW_KXRtpAm803lSXmg
1862,Street Non-DT,End Cap,34.9213,-120.433,236 E. Betteravia Rd,Santa Maria,CA,93454,Panda Express,eSCaJIJI-kLyixR7bAk9Hg
1864,Street Non-DT,End Cap,36.1061,-86.7635,2534 Powell Ave,Nashville,TN,37204,Panda Express,PFiKCDirTH6IKgz70nLbWw
1865,Street Non-DT,In Line,37.485,-122.2321,1023 El Camino Real.,Redwood City,CA,94063,Panda Express,WkGsRwtdlfNY5BhWqsrR8w
1866,Mall,Food Court,21.3854,-157.9416,98-1005 Moanalua Rd,Aiea,HI,96701,Panda Express - Temporarily Closed,aiWzrbl3ZBpb5Yhahn2lpA
1868,Street DT,Free Standing,41.1711,-96.0231,8760 S. 71st Plaza,Papillion,NE,68133,Panda Express,VixYSWwFNa1CE25iiVoViw
1869,Street DT,Free Standing,41.1357,-85.162,6205 Lima Rd.,Fort Wayne,IN,46818,Panda Express,6dgryCUzDzTw6ZrN8qGiBw
187,Street Non-DT,End Cap,34.0276,-118.5005,804 Montana Ave.,Santa Monica,CA,90403,Panda Express,XIOuGZJs317Ql0zgm2YLNg
1870,University,Food Court,29.646,-82.3477,655 Reitz Union Drive,Gainesville,FL,32611,Panda Express,hQ_dQGlZwp5DY84xZSgSIA
1871,Street DT,Free Standing,33.1291,-96.6512,340 E Stacy Rd,Allen,TX,75002,Panda Express,dCGkJHl7-tF-8eFPd5mtUA
1872,Street DT,Free Standing,30.4655,-97.598,18600 Limestone Commercial Dr,Pflugerville,TX,78660,Panda Express,HKUSF_fhyE1kahNzdRrGDA
1873,Street DT,Free Standing,30.4495,-84.3053,1410 West Tennessee St,Tallahassee,FL,32304,Panda Express,bMjRsxpvDLBq37oSdntbmw
1874,Street DT,Free Standing,28.0549,-82.4325,2214 E. Fowler St,Tampa,FL,33612,Panda Express,4lq9BmUFUOU8eQXdJ1naog
1875,Street Non-DT,End Cap,44.7325,-93.2223,7735 150th St.,Apple Valley,MN,55124,Panda Express,1vlKobW6R0DAMgGLQOO1sA
1876,Casino,Food Court,33.7578,-97.132,777 Casino Ave.,Thackerville,OK,73459,Panda Express - Temporarily Closed,#NAME?
1877,Casino,Food Court,35.1811,-97.5005,1544 W State Highway 9,Norman,OK,73072,Panda Express - Temporarily Closed,D4B41T0KLktO2qAnsY3JBw
1878,Mall,Food Court,41.8914,-87.625,520 N. Michigan Avenue.,Chicago,IL,60611,Panda Express - Temporarily Closed,Umu1BeHLB5siSWHhvkFWqQ
1879,Street DT,Free Standing,30.5551,-97.6905,111 University Oaks Blvd,Round Rock,TX,78664,Panda Express,XnoXA_GZJ5kRgF4Y92TUag
1881,Street DT,Free Standing,46.5853,-120.5977,6560 West Nob Hill Boulevard,Yakima,WA,98908,Panda Express,NfStf8NQHY1TwACFwDHQ4g
1882,Street DT,Free Standing,34.5257,-117.2188,20290 Us Highway 18.,Apple Valley,CA,92307,Panda Express,6cibLcJgmCNTFHaBx9og0g
1883,Street DT,Free Standing,31.7553,-106.2669,1820 Joe Battle Blvd,El Paso,TX,79936,Panda Express,YFD6Hkn013zOVx-RVvYnUg
