STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
515,Street Non-DT,In Line,42.0519,-87.9988,1454 Golf Rd.,Rolling Meadows,IL,60008
516,Street Non-DT,End Cap,42.3851,-87.9779,7105 Grand Ave.,Gurnee,IL,60031
517,Street Non-DT,End Cap,37.8181,-121.9969,495 San Ramon Valley Blvd,Danville,CA,94526
518,Street Non-DT,End Cap,37.9299,-122.0152,2280 Oak Grove Rd.,Walnut Creek,CA,94598
522,Street Non-DT,End Cap,40.7246,-111.8586,1126 E. 2100 South Suite B,Salt Lake City,UT,84106
523,Mall,Food Court,40.5621,-111.895,10450 S. State St.,Sandy,UT,84070
524,Street Non-DT,End Cap,18.3959,-65.9973,"Plaza Escorial, Ave Regimiento 65 De Infanteria",San Juan,PR,924
527,Street Non-DT,Free Standing,40.2728,-111.6831,494 E 1300 S,Orem,UT,84097
528,Street Non-DT,End Cap,33.6667,-112.1236,3013 W. Agua Fria Freeway C1-a,Phoenix,AZ,85027
529,Street DT,Free Standing,33.3643,-111.9124,1714 E. Guadalupe Rd,Tempe,AZ,85283
530,Theme Park,In Line,34.1362,-118.3537,1000 Universal Terrace Pkwy,Universal City,CA,91608
531,Store in Store,Food Court,33.7902,-118.0292,11861 Valley View Blvd.,Garden Grove,CA,92845
532,Street Non-DT,End Cap,37.3226,-121.9941,5180 Stevens Creek Road #e,San Jose,CA,95129
533,Street Non-DT,End Cap,34.1394,-118.0138,682 W. Huntington Dr.,Monrovia,CA,91016
534,Street Non-DT,End Cap,34.5997,-118.1471,39450 10th St. West Suite C,Palmdale,CA,93551
537,Street Non-DT,End Cap,40.6258,-111.9391,6910 S. Redwood Rd. Space A,West Jordan,UT,84084
538,Street Non-DT,End Cap,37.8917,-122.1235,3608 Mt. Diablo Blvd Bldg B,Lafayette,CA,94549
539,Street Non-DT,In Line,37.1118,-113.5553,245 N. Red Cliffs Dr #15,Saint George,UT,84790
541,Street Non-DT,End Cap,33.48,-111.9979,3923 E Thomas Rd,Phoenix,AZ,85018
542,Street Non-DT,End Cap,32.7501,-117.1638,120 Washington St.,San Diego,CA,92103
543,Street Non-DT,End Cap,33.8594,-117.9232,150 E. Orangethorpe Ave.,Fullerton,CA,92832
544,Street Non-DT,Free Standing,39.8801,-105.0917,8461 Church Ranch Blvd,Westminster,CO,80020
545,Street Non-DT,End Cap,39.5431,-104.9425,9563 South University Blvd.,Highlands Ranch,CO,80126
546,Street Non-DT,In Line,32.9378,-117.1008,12030 Scripps Summit Drive,San Diego,CA,92131
554,Mall,In Line,39.9172,-88.9606,1085 Hickory Point Mall,Forsyth,IL,62535
