,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name
4156,21093,2.5,$,73.0,39.4326955,-76.6232767,Chipotle,1241,37917,46.6,95643,55547,1191,505,LUTHERVILLE TIMONIUM,MD
4157,21842,3.0,$,21.0,38.3358624,-75.101551,Chipotle,1242,10669,53.1,55177,40725,807,364,OCEAN CITY,MD
4158,20832,2.5,$,49.0,39.1531985,-77.066176,Chipotle,1243,26448,40.8,132292,51522,814,321,OLNEY,MD
4159,21117,1.5,$,73.0,39.41260250000001,-76.772226,Chipotle,1244,58673,36.5,83392,42819,4868,1755,OWINGS MILLS,MD
4160,21117,2.5,$$,75.0,39.404619,-76.792716,Red Lobster,297,58673,36.5,83392,42819,4868,1755,OWINGS MILLS,MD
4161,21801,2.5,$,24.0,38.3496949,-75.60263990000001,Chipotle,1245,30007,35.3,56089,28683,4278,1322,SALISBURY,MD
4162,21801,2.5,$,18.0,38.40314220000001,-75.56972900000002,Chipotle,1246,30007,35.3,56089,28683,4278,1322,SALISBURY,MD
4163,21801,3.5,$$,33.0,38.39858,-75.569937,Red Lobster,104,30007,35.3,56089,28683,4278,1322,SALISBURY,MD
4164,21146,2.0,$,96.0,39.077508,-76.54460859999998,Chipotle,1247,28006,42.8,138797,58019,1024,531,SEVERNA PARK,MD
4165,21784,2.5,$,20.0,39.3986035,-76.93320899999998,Chipotle,1248,38390,42.2,109734,45610,1221,550,SYKESVILLE,MD
4166,21157,2.5,$,19.0,39.5620559,-76.971611,Chipotle,1249,36985,41.0,82134,36430,2454,720,WESTMINSTER,MD
4167,2703,3.5,$,18.0,41.9239237,-71.3559809,Chipotle,1250,44548,40.9,74255,37018,3903,1400,ATTLEBORO,MA
4168,1730,3.0,$,36.0,42.4862612,-71.2626348,Chipotle,1251,14053,42.7,129726,61653,457,472,BEDFORD,MA
4169,1803,3.0,$,86.0,42.4861545,-71.2127228,Chipotle,1252,27059,41.7,105443,48663,1049,692,BURLINGTON,MA
4170,1915,2.5,$,54.0,42.5758781,-70.891196,Chipotle,1253,41731,42.0,79483,45358,3171,969,BEVERLY,MA
4171,1862,2.5,$,22.0,42.5804513,-71.2881532,Chipotle,1254,10223,43.7,97234,36545,390,320,NORTH BILLERICA,MA
4172,1824,3.5,$,21.0,42.625,-71.36228940000002,Chipotle,1255,25955,44.6,119387,51927,878,525,CHELMSFORD,MA
4173,1801,3.5,$,83.0,42.5165717,-71.13787459999998,Chipotle,1256,40350,40.5,88671,41720,2328,878,WOBURN,MA
4174,1886,2.5,$,64.0,42.5665017,-71.4227515,Chipotle,1257,24194,43.1,141173,53692,612,387,WESTFORD,MA
4175,2210,2.5,$,26.0,42.351048,-71.04572390000001,Chipotle,1258,3196,37.3,163068,131200,69,117,BOSTON,MA
4176,2108,2.0,$,121.0,42.3575493,-71.0584291,Chipotle,1259,4082,35.1,136667,99533,400,200,BOSTON,MA
4177,2110,3.0,$,95.0,42.353401,-71.0580918,Chipotle,1260,2449,53.8,116932,154315,224,11,BOSTON,MA
4178,2116,2.5,$,76.0,42.35064570000001,-71.07624229999998,Chipotle,1261,23118,36.0,105559,106606,2271,703,BOSTON,MA
4179,2116,3.5,$,18.0,42.3517538,-71.06697290000002,Chipotle,1263,23118,36.0,105559,106606,2271,703,BOSTON,MA
4180,2135,3.0,$,102.0,42.3364117,-71.1495791,Chipotle,1265,44760,29.9,72009,41417,7716,1496,BRIGHTON,MA
4181,2125,2.0,$,20.0,42.32556,-71.0623078,Chipotle,1266,34358,32.3,56318,31525,7862,1861,DORCHESTER,MA
4182,2139,2.5,$,42.0,42.3648206,-71.1032757,Chipotle,1268,38272,29.7,96771,50114,3786,926,CAMBRIDGE,MA
4183,2142,2.0,$,98.0,42.3625658,-71.08569659999998,Chipotle,1269,3294,31.1,116346,84892,359,55,CAMBRIDGE,MA
4184,2144,3.5,$,131.0,42.3959034,-71.12241879999998,Chipotle,1271,25277,31.0,107232,57270,2816,695,SOMERVILLE,MA
4185,2138,3.0,$,67.0,42.3892633,-71.1434155,Chipotle,1272,38835,28.6,95368,55695,3159,1111,CAMBRIDGE,MA
4186,2171,2.5,$,144.0,42.2725836,-71.0272649,Chipotle,1274,18170,41.6,83479,45911,1761,372,QUINCY,MA
4187,2062,2.0,$,68.0,42.1644603,-71.1996236,Chipotle,1275,29201,40.6,90511,45020,2316,766,NORWOOD,MA
4188,2472,1.0,,3.0,42.3615737,-71.1599528,Chipotle,1276,35387,38.7,97466,53953,2766,883,WATERTOWN,MA
4189,2464,3.0,$,79.0,42.3082794,-71.2150682,Chipotle,1277,3103,43.1,107679,51345,72,58,NEWTON UPPER FALLS,MA
4190,2184,3.0,$,78.0,42.2207521,-71.02547059999998,Chipotle,1278,37207,41.3,94945,44077,1720,1011,BRAINTREE,MA
4191,2301,2.0,$,18.0,42.0935873,-71.0544959,Chipotle,1279,62929,35.1,49693,24544,10917,3060,BROCKTON,MA
4192,1020,3.5,$,36.0,42.1727037,-72.5775908,Chipotle,1280,30097,44.3,58226,30280,3197,1003,CHICOPEE,MA
4193,1028,3.5,$,6.0,42.0650622,-72.5150848,Chipotle,1282,16200,45.8,88442,39074,651,319,EAST LONGMEADOW,MA
4194,1089,4.0,$,10.0,42.0959095,-72.60202290000002,Chipotle,1283,28666,38.9,51472,31135,3329,984,WEST SPRINGFIELD,MA
4195,1701,2.5,$,175.0,42.3001226,-71.3937061,Chipotle,1284,32570,46.2,111169,53652,1303,731,FRAMINGHAM,MA
4196,1760,2.0,$,16.0,42.3020234,-71.35983590000002,Chipotle,1285,35763,40.3,109490,57945,1018,657,NATICK,MA
4197,2038,2.0,$,65.0,42.090083,-71.4217318,Chipotle,1286,33022,40.7,115355,50626,1271,926,FRANKLIN,MA
4198,1035,2.5,$,47.0,42.35694470000001,-72.5538623,Chipotle,1287,5310,49.6,64276,43529,299,52,HADLEY,MA
4199,1830,2.5,$,22.0,42.8141868,-71.1021459,Chipotle,1288,26695,37.7,62194,31572,3698,1065,HAVERHILL,MA
4200,1844,2.0,$,54.0,42.744006,-71.1565596,Chipotle,1289,50019,39.7,74912,34390,4597,1930,METHUEN,MA
4201,2043,2.5,$,78.0,42.1785378,-70.9094917,Chipotle,1290,23298,45.7,133596,73963,1048,411,HINGHAM,MA
4202,1040,3.0,$,18.0,42.1750679,-72.641611,Chipotle,1291,40376,34.9,40656,23385,11630,1549,HOLYOKE,MA
4203,2601,3.0,$,31.0,41.66759370000001,-70.29562370000001,Chipotle,1292,15215,40.9,49031,26552,2360,512,HYANNIS,MA
4204,1453,2.5,,8.0,42.5333681,-71.7435946,Chipotle,1293,41579,40.3,58205,32012,5485,1310,LEOMINSTER,MA
