Column 1,zip_code,yelp_rating,price_tag,review_count,lat,lng,name,name 2,storeid,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment,city_name,state_name,state_name 2,Walk Score,Bike Score
1024,20109,2.5,$,83,38.7969942,-77.5171817,Chipotle,0,2486,40717,30.8,70629,29548,4134,1063,MANASSAS,VA,East,63,46
1025,20109,3,$$,102,38.791656,-77.514797,Red Lobster,2,655,40717,30.8,70629,29548,4134,1063,MANASSAS,VA,East,71,49
1026,76711,2,$,27,31.4978,-97.1586,Panda Express,1,539,9772,31.3,40961,18342,2019,215,WACO,TX,South,35,35
1027,93291,2.5,$,39,36.3474,-119.2972,Panda Express,1,540,57968,30.5,57223,25454,13239,1606,VISALIA,CA,West,72,51
1028,97035,2.5,$,69,45.3974,-122.7441,Panda Express,1,541,26014,44.3,94531,56650,1302,555,LAKE OSWEGO,OR,West,63,81
1029,97035,3,$,54,45.4204462,-122.7392027,Chipotle,0,1995,26014,44.3,94531,56650,1302,555,LAKE OSWEGO,OR,West,57,74
1030,90650,2,$,94,33.9191,-118.0739,Panda Express,1,542,105886,35.4,66453,22076,13411,3272,NORWALK,CA,West,68,52
1031,94805,2,$,73,37.933,-122.3295,Panda Express,1,543,14208,39.5,78740,39368,1367,322,RICHMOND,CA,West,82,82
1032,93907,2.5,$,46,36.7182,-121.6668,Panda Express,1,544,22766,40.9,76360,32551,2356,783,SALINAS,CA,West,36,53
1033,47906,3,$,20,40.4247,-86.9077,Panda Express,1,545,75899,22.6,46594,23804,20150,1536,WEST LAFAYETTE,IN,Midwest,87,80
1034,47906,4,$,54,40.4236298,-86.9071573,Chipotle,0,1051,75899,22.6,46594,23804,20150,1536,WEST LAFAYETTE,IN,Midwest,87,71
1035,47906,4,$,54,40.4521423,-86.9153283,Chipotle,0,1059,75899,22.6,46594,23804,20150,1536,WEST LAFAYETTE,IN,Midwest,74,82
1036,73128,3,$,28,35.462,-97.6181,Panda Express,1,546,4757,33,76469,30299,257,24,OKLAHOMA CITY,OK,South,40,34
1037,95691,2.5,$,43,38.554,-121.5387,Panda Express,1,547,37906,34.7,73086,32343,5417,1159,WEST SACRAMENTO,CA,West,55,74
1038,92595,2,$,108,33.5941,-117.2424,Panda Express,1,548,33642,36,74735,27128,3458,1342,WILDOMAR,CA,West,33,32
1039,91950,1.5,$,49,32.6542,-117.0651,Panda Express,1,549,62639,33.6,45712,20983,11463,2071,NATIONAL CITY,CA,West,53,66
1040,91950,3,$,67,32.6756,-117.0963,Panda Express,1,887,62639,33.6,45712,20983,11463,2071,NATIONAL CITY,CA,West,92,51
1041,91950,3,$,62,32.6605596,-117.1055656,Chipotle,0,356,62639,33.6,45712,20983,11463,2071,NATIONAL CITY,CA,West,66,60
1042,91950,3,$,88,32.6545711,-117.0655077,Chipotle,0,357,62639,33.6,45712,20983,11463,2071,NATIONAL CITY,CA,West,53,61
1043,87110,3,$,5,35.1079,-106.5742,Panda Express,1,550,38753,41.6,50034,30915,5524,1001,ALBUQUERQUE,NM,West,69,80
1044,87110,3.5,$,120,35.1088624,-106.5685222,Chipotle,0,1576,38753,41.6,50034,30915,5524,1001,ALBUQUERQUE,NM,West,83,77
1045,91792,3,$,77,34.036,-117.9126,Panda Express,1,551,29839,37.1,77333,27428,3744,1380,WEST COVINA,CA,West,63,33
1046,96826,3,$$,169,21.2973,-157.8377,Panda Express,1,552,31945,41.6,50400,32023,5199,582,HONOLULU,HI,West,97,97
1047,97504,2.5,$,34,42.3613,-122.8598,Panda Express,1,553,47645,41.6,54199,30456,7628,1361,MEDFORD,OR,West,54,64
1048,97504,3.5,$$,94,42.348604,-122.877982,Red Lobster,2,508,47645,41.6,54199,30456,7628,1361,MEDFORD,OR,West,67,82
1049,93657,3,$,9,36.7071,-119.574,Panda Express,1,554,34723,35.1,53624,22576,8949,1106,SANGER,CA,West,61,53
1050,91040,2.5,$,96,34.26,-118.3126,Panda Express,1,555,20207,47,81940,38153,2379,452,SUNLAND,CA,West,81,55
1051,659,,,,18.4798,-66.7716,Panda Express,1,556,40390,41.5,17201,10659,18717,915,HATILLO,PR,South,61,
1052,99001,2.5,$,25,47.6434,-117.5757,Panda Express,1,557,6798,34.8,47991,15971,709,122,AIRWAY HEIGHTS,WA,West,42,48
1053,98335,2.5,$,45,47.3595,-122.6045,Panda Express,1,558,25522,45.5,92987,47921,1344,548,GIG HARBOR,WA,West,51,71
1054,90292,2.5,$,100,33.9859,-118.4398,Panda Express,1,559,22490,40.2,109268,87124,2642,644,MARINA DEL REY,CA,West,84,78
1055,90292,3,$,340,33.979174,-118.4383297,Chipotle,0,222,22490,40.2,109268,87124,2642,644,MARINA DEL REY,CA,West,80,84
1056,28303,2.5,$,51,35.0707,-78.9634,Panda Express,1,560,29414,35.1,39896,27452,5981,805,FAYETTEVILLE,NC,South,47,42
1057,28303,2.5,$$,81,35.077071,-78.95517,Red Lobster,2,443,29414,35.1,39896,27452,5981,805,FAYETTEVILLE,NC,South,45,42
1058,73034,3,$,16,35.6513,-97.4612,Panda Express,1,561,44647,36.5,84419,46747,4176,876,EDMOND,OK,South,68,51
1059,32819,2.5,$$,52,28.4731,-81.462,Panda Express,1,562,27442,40.6,68964,41686,2517,702,ORLANDO,FL,South,32,68
1060,32819,3.5,,10,28.4489,-81.4266,Panda Express,1,1697,27442,40.6,68964,41686,2517,702,ORLANDO,FL,South,32,40
1061,32819,3,$,89,28.4505981,-81.4889647,Chipotle,0,667,27442,40.6,68964,41686,2517,702,ORLANDO,FL,South,74,59
1062,32819,3,$$,84,28.461768,-81.46156,Red Lobster,2,146,27442,40.6,68964,41686,2517,702,ORLANDO,FL,South,51,58
1063,32819,3.5,$$,121,28.424539,-81.461657,Red Lobster,2,147,27442,40.6,68964,41686,2517,702,ORLANDO,FL,South,31,36
1064,95307,2,$,59,37.6088,-120.9392,Panda Express,1,563,44736,30.8,54405,18851,7422,2644,CERES,CA,West,70,70
1065,76548,2,$,86,31.0737,-97.665,Panda Express,1,564,30329,33.9,72982,30271,3788,1089,HARKER HEIGHTS,TX,South,52,45
1066,76548,3.5,$,47,31.072048,-97.665851,Chipotle,0,2306,30329,33.9,72982,30271,3788,1089,HARKER HEIGHTS,TX,South,49,45
1067,66111,1.5,$,23,39.126,-94.8346,Panda Express,1,565,9986,34.7,53058,23553,1882,425,KANSAS CITY,KS,Midwest,38,39
1068,66111,2.5,$,27,39.1260799,-94.8250437,Chipotle,0,1077,9986,34.7,53058,23553,1882,425,KANSAS CITY,KS,Midwest,37,39
1069,89084,2,,9,36.292,-115.1807,Panda Express,1,566,27218,36,75571,33521,2182,627,NORTH LAS VEGAS,NV,West,53,45
1070,89084,2,,14,36.2821,-115.1328,Panda Express,1,1671,27218,36,75571,33521,2182,627,NORTH LAS VEGAS,NV,West,25,43
1071,60436,2.5,$$,28,41.5216,-88.1423,Panda Express,1,567,18945,33.2,55550,21417,3107,619,JOLIET,IL,Midwest,66,65
1072,95678,2,$,29,38.7734,-121.2693,Panda Express,1,568,43132,36.5,70060,34310,5050,1089,ROSEVILLE,CA,West,56,72
1073,95678,3,$,63,38.748,-121.2535,Panda Express,1,2147,43132,36.5,70060,34310,5050,1089,ROSEVILLE,CA,West,57,94
1074,95678,2.5,$,306,38.7895086,-121.2809068,Chipotle,0,414,43132,36.5,70060,34310,5050,1089,ROSEVILLE,CA,West,78,74
1075,95678,3,$,130,38.7701054,-121.2647619,Chipotle,0,419,43132,36.5,70060,34310,5050,1089,ROSEVILLE,CA,West,57,70
1076,89139,2.5,$$,105,36.0342,-115.2054,Panda Express,1,569,40490,33.6,75022,29874,2809,959,LAS VEGAS,NV,West,49,54
1077,89139,3,$,102,36.0396569,-115.1906872,Chipotle,0,1484,40490,33.6,75022,29874,2809,959,LAS VEGAS,NV,West,42,48
1078,77082,2,$,76,29.7344,-95.6243,Panda Express,1,570,55527,33.9,53313,30437,7501,1663,HOUSTON,TX,South,49,46
1079,77082,2.5,$$,113,29.729814,-95.644893,Red Lobster,2,603,55527,33.9,53313,30437,7501,1663,HOUSTON,TX,South,53,44
1080,60162,3,$,18,41.8669,-87.8832,Panda Express,1,571,8165,40.2,53728,26655,563,358,HILLSIDE,IL,Midwest,62,43
1081,96707,3.5,$$,50,21.3299,-158.0864,Panda Express,1,572,47958,32.7,100739,33559,2635,1540,KAPOLEI,HI,West,51,47
1082,96707,3,$$,44,21.3492,-158.065,Panda Express,1,1331,47958,32.7,100739,33559,2635,1540,KAPOLEI,HI,West,10,22
1083,96707,,,,21.3354,-158.0569,Panda Express,1,1395,47958,32.7,100739,33559,2635,1540,KAPOLEI,HI,West,51,45
1084,98902,2,$,29,46.5739,-120.4889,Panda Express,1,573,46490,32.6,42379,21346,9339,1556,YAKIMA,WA,West,52,41
1085,96740,2.5,$,41,19.6501,-156.0044,Panda Express,1,574,39694,44,76296,36290,3510,666,KAILUA KONA,HI,West,51,42
1086,91733,2.5,$$,50,34.0435,-118.0321,Panda Express,1,575,44968,34.5,45519,15987,9782,1348,SOUTH EL MONTE,CA,West,77,61
1087,89502,2.5,$,65,39.5062,-119.7985,Panda Express,1,576,45772,35,42017,23529,8230,1525,RENO,NV,West,89,71
1088,32224,2.5,$,33,30.2871,-81.4635,Panda Express,1,577,43751,34.6,76546,40266,3169,1127,JACKSONVILLE,FL,South,46,50
1089,32224,,,,30.2783,-81.5091,Panda Express,1,1686,43751,34.6,76546,40266,3169,1127,JACKSONVILLE,FL,South,27,44
1090,32224,2.5,$,33,30.2871128,-81.4603684,Chipotle,0,757,43751,34.6,76546,40266,3169,1127,JACKSONVILLE,FL,South,51,52
1091,97756,2,$,27,44.2943,-121.1719,Panda Express,1,578,37540,40.8,59077,27320,4574,1226,REDMOND,OR,West,39,67
1092,33034,2.5,$,49,25.4567,-80.4759,Panda Express,1,579,23281,31.5,36363,10608,8141,1195,HOMESTEAD,FL,South,65,77
1093,32065,,,,30.1397,-81.7701,Panda Express,1,580,37160,37,69791,30032,2917,1166,ORANGE PARK,FL,South,58,54
1094,34986,2.5,$,25,27.3107,-80.4062,Panda Express,1,581,26317,55.9,54167,34085,2914,328,PORT SAINT LUCIE,FL,South,46,42
1095,34986,3,$,61,27.3106526,-80.4064214,Chipotle,0,799,26317,55.9,54167,34085,2914,328,PORT SAINT LUCIE,FL,South,46,42
1096,64014,,,,39.0274,-94.2554,Panda Express,1,582,25148,35.4,73517,31887,1477,319,BLUE SPRINGS,MO,Midwest,48,39
1097,64014,2,$,41,39.025875,-94.2483172,Chipotle,0,1425,25148,35.4,73517,31887,1477,319,BLUE SPRINGS,MO,Midwest,41,29
1098,33025,3,$,50,25.978,-80.3104,Panda Express,1,584,71763,35.6,57219,25080,8484,1769,HOLLYWOOD,FL,South,43,50
1099,76109,2.5,$,35,32.705,-97.3894,Panda Express,1,585,23512,33.2,76856,59605,3335,373,FORT WORTH,TX,South,61,76
1100,76109,3,$,48,32.7064172,-97.3890324,Chipotle,0,2287,23512,33.2,76856,59605,3335,373,FORT WORTH,TX,South,62,76
1101,92584,2.5,$,96,33.6846,-117.1748,Panda Express,1,586,51298,33.4,88201,29646,3658,1963,MENIFEE,CA,West,60,45
1102,92584,2.5,$,169,33.6845653,-117.174962,Chipotle,0,332,51298,33.4,88201,29646,3658,1963,MENIFEE,CA,West,60,45
1103,90024,2.5,$,75,34.0704,-118.4441,Panda Express,1,587,50288,22.5,63306,43406,12151,2083,LOS ANGELES,CA,West,64,56
1104,90024,2.5,$,394,34.0610586,-118.4463143,Chipotle,0,117,50288,22.5,63306,43406,12151,2083,LOS ANGELES,CA,West,94,78
1105,77070,2.5,$,37,29.9644,-95.5425,Panda Express,1,588,53239,34.3,66983,35691,5696,1797,HOUSTON,TX,South,55,44
1106,77070,2.5,$,78,29.9642525,-95.5434952,Chipotle,0,2240,53239,34.3,66983,35691,5696,1797,HOUSTON,TX,South,58,44
1107,77070,2,$,77,29.9963734,-95.5768246,Chipotle,0,2241,53239,34.3,66983,35691,5696,1797,HOUSTON,TX,South,63,62
1108,78130,3,$,30,29.6868,-98.1255,Panda Express,1,589,74172,36.2,62813,30170,7132,1279,NEW BRAUNFELS,TX,South,69,46
1109,78130,2,$,37,29.7282,-98.0765,Panda Express,1,1239,74172,36.2,62813,30170,7132,1279,NEW BRAUNFELS,TX,South,40,42
1110,78130,3,$,34,29.70103,-98.0956525,Chipotle,0,2346,74172,36.2,62813,30170,7132,1279,NEW BRAUNFELS,TX,South,50,34
1111,33174,2,$,50,25.769,-80.3379,Panda Express,1,590,34015,41.7,46613,20661,4883,1008,MIAMI,FL,South,61,53
1112,33174,2.5,$,113,25.7692416,-80.3598109,Chipotle,0,775,34015,41.7,46613,20661,4883,1008,MIAMI,FL,South,84,52
1113,76137,2.5,$$,21,32.8427,-97.29,Panda Express,1,591,60061,31.4,72336,29483,5684,1852,FORT WORTH,TX,South,39,43
1114,78249,2,$,4,29.5845,-98.6173,Panda Express,1,592,59508,27.9,64657,29119,10495,2866,SAN ANTONIO,TX,South,44,71
1115,78249,3,$$,83,29.591579,-98.601561,Red Lobster,2,626,59508,27.9,64657,29119,10495,2866,SAN ANTONIO,TX,South,15,58
1116,61115,2.5,$,19,42.3662,-89.016,Panda Express,1,595,22574,38.9,60213,27313,1806,822,MACHESNEY PARK,IL,Midwest,43,39
1117,61115,3,$,18,42.3660502,-89.0233293,Chipotle,0,995,22574,38.9,60213,27313,1806,822,MACHESNEY PARK,IL,Midwest,47,40
1118,95815,2,$,12,38.6016,-121.4274,Panda Express,1,596,25224,31.9,31467,17106,8716,1810,SACRAMENTO,CA,West,59,75
1119,89107,2.5,$,11,36.1725,-115.1973,Panda Express,1,597,38165,35,40605,20205,7715,1806,LAS VEGAS,NV,West,65,47
1120,89107,3,$$,357,36.171729,-115.206493,Red Lobster,2,375,38165,35,40605,20205,7715,1806,LAS VEGAS,NV,West,81,51
1121,95356,2,$,27,37.6872,-121.0518,Panda Express,1,598,32842,37.6,69334,36311,3847,1044,MODESTO,CA,West,69,56
1122,95356,2,$,43,37.7029,-121.065,Panda Express,1,1947,32842,37.6,69334,36311,3847,1044,MODESTO,CA,West,53,37
1123,95356,3,$,128,37.6876863,-121.05252,Chipotle,0,342,32842,37.6,69334,36311,3847,1044,MODESTO,CA,West,69,52
1124,91007,2.5,$,37,34.1349,-118.051,Panda Express,1,599,34523,44.8,80166,38448,3461,782,ARCADIA,CA,West,74,48
1125,91007,2.5,$,95,34.1357144,-118.0497349,Chipotle,0,160,34523,44.8,80166,38448,3461,782,ARCADIA,CA,West,67,49
1126,92108,2,$,59,32.768,-117.1656,Panda Express,1,600,22565,31.8,72170,45628,3095,996,SAN DIEGO,CA,West,55,62
1127,92108,4,,8,32.7688,-117.148,Panda Express,1,1669,22565,31.8,72170,45628,3095,996,SAN DIEGO,CA,West,80,75
1128,92108,3,$,426,32.7679405,-117.1531596,Chipotle,0,446,22565,31.8,72170,45628,3095,996,SAN DIEGO,CA,West,85,75
1129,95301,2,$$,52,37.3438,-120.6146,Panda Express,1,601,38707,32.5,57322,23401,7710,2045,ATWATER,CA,West,56,45
1130,86403,3.5,$,25,34.4798,-114.3487,Panda Express,1,602,18119,48.7,43932,26218,2791,672,LAKE HAVASU CITY,AZ,West,51,58
1131,86403,3,$,45,34.4717127,-114.3427527,Chipotle,0,60,18119,48.7,43932,26218,2791,672,LAKE HAVASU CITY,AZ,West,57,67
1132,32205,3,$,20,30.3031,-81.758,Panda Express,1,603,29499,35.9,44546,31558,6486,1065,JACKSONVILLE,FL,South,56,51
1133,73107,2,$,24,35.4936,-97.55,Panda Express,1,604,25328,33,42488,23465,5520,621,OKLAHOMA CITY,OK,South,80,62
1134,32246,3,$,55,30.2543,-81.5349,Panda Express,1,605,51275,34.4,57507,29080,7027,1640,JACKSONVILLE,FL,South,49,49
1135,32246,2.5,$,163,30.2545763,-81.5327894,Chipotle,0,754,51275,34.4,57507,29080,7027,1640,JACKSONVILLE,FL,South,49,50
1136,28723,5,,1,35.3094,-83.1837,Panda Express,1,606,11182,22,33180,15363,2562,291,CULLOWHEE,NC,South,43,33
1137,46032,3,$,31,39.9719,-86.1542,Panda Express,1,608,48853,38.3,102143,61118,2081,652,CARMEL,IN,Midwest,61,82
1138,46032,3,$,39,39.9725225,-86.1545561,Chipotle,0,1030,48853,38.3,102143,61118,2081,652,CARMEL,IN,Midwest,61,82
1139,78666,2.5,$,43,29.8431,-97.9697,Panda Express,1,609,79276,25.1,40652,21261,21725,3301,SAN MARCOS,TX,South,26,36
1140,78666,3,,4,29.8875,-97.9424,Panda Express,1,1268,79276,25.1,40652,21261,21725,3301,SAN MARCOS,TX,South,88,55
1141,78666,3.5,$,36,29.8855707,-97.9410343,Chipotle,0,2376,79276,25.1,40652,21261,21725,3301,SAN MARCOS,TX,South,89,69
1142,78666,3.5,$,17,29.8269973,-97.9852786,Chipotle,0,2377,79276,25.1,40652,21261,21725,3301,SAN MARCOS,TX,South,38,41
1143,78666,3,$$,93,29.868324,-97.938375,Red Lobster,2,631,79276,25.1,40652,21261,21725,3301,SAN MARCOS,TX,South,65,59
1144,64118,2.5,$,21,39.1845,-94.576,Panda Express,1,611,42706,35.7,55690,27636,5711,1085,KANSAS CITY,MO,Midwest,50,43
