,Address,Zip Code,Latitude,Longitude,yelp_rating,price_tag,review_count,business_name
132,"5690 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746",34746,28.332183,-81.513215,3.0,$$,47.0,red-lobster-kissimmee-3
133,"2847 W US Hwy 90, Lake City, FL 32055",32055,30.180366999999997,-82.678973,3.5,$$,23.0,red-lobster-lake-city
134,"6638 Lake Worth Rd, Lake Worth, FL 33467",33467,26.617234000000003,-80.149276,2.5,$$,58.0,red-lobster-lake-worth
135,"3706 North Dr #98, Lakeland, FL 33809",33809,28.089436,-81.974407,3.0,$$,50.0,red-lobster-lakeland
136,"10500 E Ulmerton Rd, Largo, FL 33771",33771,27.894097,-82.782614,2.5,$$,69.0,red-lobster-largo
137,"10010 US-441, Leesburg, FL 34788",34788,28.823765,-81.790695,3.5,$$,26.0,red-lobster-leesburg
138,"2355 W New Haven Ave, Melbourne, FL 32904",32904,28.078257,-80.660904,3.0,$$,53.0,red-lobster-melbourne
139,"215 E Merritt Island Causeway, Merritt Island, FL 32952",32952,28.356648999999997,-80.695842,3.0,$$,43.0,red-lobster-merritt-island
140,"1695 NW 87th Ave, Doral, FL 33172",33172,25.789372,-80.33639000000001,3.0,$$,112.0,red-lobster-doral-2
141,"2355 Tamiami Trail N, Naples, FL 34103",34103,26.176354999999997,-81.800236,2.5,$$,53.0,red-lobster-naples
142,"3393 SW College Rd, Ocala, FL 34474",34474,29.15697,-82.178883,3.0,$$,53.0,red-lobster-ocala
143,"3552 E Colonial Dr, Orlando, FL 32803",32803,28.553022,-81.339985,3.0,$$,83.0,red-lobster-orlando-2
144,"7373 W Colonial Dr, Orlando, FL 32818",32818,28.552549,-81.480343,2.5,$$,45.0,red-lobster-orlando-4
145,"5936 International Dr, Orlando, FL 32819",32819,28.461768,-81.46155999999999,3.0,$$,84.0,red-lobster-orlando
146,"9892 International Dr, Orlando, FL 32819",32819,28.424539000000003,-81.46165699999999,3.5,$$,121.0,red-lobster-orlando-5
147,"8003 Golden Sky Ln, Orlando, FL 32809",32809,28.45008,-81.393477,3.5,$$,49.0,red-lobster-orlando-3
